"ID","date","study_no","org_name","org_detail","inoc_conc","incubation","colony_count_raw","bact_hours","csa_hours","hours_diff","comment"
33,2013-03-28,"1031A","parapsilosis","cp_atcc_22019","3e+05","csa_and_bact",NA,8.49,15,6.51,""
34,2013-03-28,"1031B","parapsilosis","cp_atcc_22019","3e+03","csa_and_bact",NA,NA,NA,NA,"machine_error"
35,2013-03-28,"1031C","parapsilosis","cp_atcc_22019","30","csa_and_bact",88,NA,NA,NA,"machine_error"
36,2013-03-28,"1031D","parapsilosis","cp_atcc_22019","0.6","csa_and_bact",2,NA,NA,NA,"machine_error"
41,2013-03-28,"1033","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
42,2013-04-10,"1034A","parapsilosis","cp_atcc_22019","3e+05","csa_and_bact",NA,8.1,14,5.9,""
43,2013-04-10,"1034B","parapsilosis","cp_atcc_22019","3e+03","csa_and_bact",NA,21.09,22.7,1.61,""
44,2013-04-10,"1034C","parapsilosis","cp_atcc_22019","30","csa_and_bact",35,32.93,31,-1.93,""
45,2013-04-10,"1034D","parapsilosis","cp_atcc_22019","0.6","csa_and_bact",3,45.11,41.3,-3.81,""
46,2013-04-10,"1035A","parapsilosis","cp_atcc_22019","3e+05","csa_and_bact",NA,7.59,11.6,4.01,""
47,2013-04-10,"1035B","parapsilosis","cp_atcc_22019","3e+03","csa_and_bact",NA,20.26,23.3,3.04,""
48,2013-04-10,"1035C","parapsilosis","cp_atcc_22019","30","csa_and_bact",43,32.11,32,-0.109999999999999,""
49,2013-04-10,"1035D","parapsilosis","cp_atcc_22019","0.6","csa_and_bact",1,46.45,43,-3.45,""
50,2013-04-10,"1036A","parapsilosis","cp_atcc_22019","3e+05","csa_and_bact",NA,7.43,31.3,23.87,""
51,2013-04-10,"1036B","parapsilosis","cp_atcc_22019","3e+03","csa_and_bact",NA,20.43,23.7,3.27,""
52,2013-04-10,"1036C","parapsilosis","cp_atcc_22019","30","csa_and_bact",60,32.28,31,-1.28,""
53,2013-04-10,"1036D","parapsilosis","cp_atcc_22019","0.6","csa_and_bact",2,NA,NA,NA,""
54,2013-04-10,"1037A","krusei","ck_atcc_6258","3e+05","csa_and_bact",NA,7.43,9.3,1.87,""
55,2013-04-10,"1037B","krusei","ck_atcc_6258","3e+03","csa_and_bact",NA,13.1,16.3,3.2,""
